title,author,sex_author,nationality_author,lenguage,genre,month,rating,support,lat,lng
The chronology of water,Lidia Yuknavitch,female,USA,english,memoir,January,3,ebook,37.15,-95
The idiot,Elif Batuman,female,USA,english,fiction,January,3.5,ebook,37.15,-95
Home fire,Kamila Shamzie,female,Pakistan-British,english,fiction,January,4.5,ebook,37.15,-95
Trust exercise,Susan Choi,female,USA,english,fiction,February,3.5,ebook,37.15,-95
Try not to try,Edward Slingerland,male,USA,english,non fiction,March,4,book,37.15,-95
On earth we are briefly gorgeous,Ocean Vuong,male,Vietnam-USA,english,fiction,March,3.5,ebook,14.05,108.28
Such a fun age,Kiley Reid,female,USA,english,fiction,March,4.5,ebook,37.15,-95
The Bluest eye,Toni Morrison,female,USA,english,fiction,March,4,ebook,37.15,-95
Know my name,Chanel Miller,female,USA,english,memoir,April,4.5,ebook,37.15,-95
An American marriage,Tayarl jones,female,USA,english,fiction,April,4.8,ebook,37.15,-95
Someday this pain will be useful to you,Peter Cameron,male,USA,english,fiction,April,4.2,ebook,37.15,-95
American Dirt,Jeanine Cummins,female,USA,english,fiction,April,4,ebook,37.15,-95
Recollection of my nonexistence,Rebecca Solnit,female,USA,english,memoir,May,5,ebook,37.15,-95
Hunger,Roxane Gay,female,USA,english,memoir,May,4.7,ebook,37.15,-95
Why be happy when you could be normal?,Janette Winterson,female,USA,english,memoir,June,4.3,ebook,37.15,-95
A little life,Hanya Yanaghiara,female,USA,english,fiction,June,5,ebook,37.15,-95
Between the world and me,Ta Neishi Coates,male,USA,english,non fiction,June,5,ebook,37.15,-95
The nickel boys,Colson Whitehead,male,USA,english,fiction,June,4.2,ebook,37.15,-95
Febbre,Jhonatan Bazzi,male,Italy,italian,memoir,July,4.8,book,41.87,12.56
Signorina,Chiara Sfregola,female,Italy,italian,non fiction,July,4.5,book,41.87,12.56
"Girl, Woman, Other",Bernardine Evaristo,female,UK,english,fiction,July,4.2,ebook,55.61,-3.71
Liberati della brava bambina,Maura Gancitano,female,Italy,italian,non fiction,July,4.5,book,41.87,12.56
Il corpo elettrico,Jennifer Guerra,female,Italy,italian,non fiction,July,4.5,book,41.87,12.56
Beloved,Toni Morrison,female,USA,english,fiction,July,4,ebook,37.15,-95
La piu amata,Teresa Ciabatti,female,Italy,italian,fiction,August,4.6,book,41.87,12.56
Bad feminist,Roxane Gay,female,USA,english,essays,August,4.6,book,37.15,-95
Sex and Lies,Leila Seilmani,female,Morocco,english,non fiction,August,4.8,book,32.31,-7.15
Beauty sick,Renee Engeln,female,USA,english,non fiction,August,4,book,37.15,-95
Where the crawdads sing,Delia Owens,female,USA,english,fiction,September,4.3,ebook,37.15,-95
Hood Feminism,Mikki Kendal,female,USA,english,non fiction,September,4,book,37.15,-95
Ordinary people,Diana Evans,female,UK,english,fiction,September,4.4,ebook,55.61,-3.71
L’arabe du futur 5,Riad Sattouf,male,France,french,graphic novel,October,4.5,book,46.22,2.21
Invisible women,Caroline Criado Perez,female,UK,english,non fiction,October,5,book,55.61,-3.71
Almarina,Valeria Parrella,female,Italy,italian,fiction,November,4,ebook,41.87,12.56
If I had your face,Frances Cha,female,Korea-USA,english,fiction,November,4.3,ebook,35.9,127.77
The Vanishing half,Brit Bennet,female,USA,english,fiction,November,4.5,ebook,37.15,-95
Trascendent kingdom,Yaa Gyasi,female,USA,english,fiction,December,4.9,ebook,37.15,-95
E poi basta,Esperance H. Ripanti,female,Italy,italian,memoir,December,3.8,book,41.87,12.56
Romazo Esplicito,Fumetti Brutti,female,Italy,italian,graphic novel,December,4.3,book,41.87,12.56
"P., La mia adolescenza trans",Fumetti Brutti,female,Italy,italian,graphic novel,December,4.5,book,41.87,12.56
Anestesia,Fumetti Brutti,female,Italy,italian,graphic novel,December,4.8,book,41.87,12.56
Eroine,Marina Pierri,female,Italy,italian,non fiction,December,5,book,41.87,12.56
The death of Vivek Oji,Akwaeke Emezi,female,Nigeria,english,fiction,December,4.5,ebook,9.08,8.67
La matematica è politica,Chiara Valerio,female,Italy,italian,non fiction,December,4.6,book,41.87,12.56
